PGA,URML_Pre1945,URML_Post1945,Timber_Pre1945,Timber_Post1945,C1L_Pre1996,C1L_Post1996,C2L_Pre1996,C2L_Post1996,S2L_Pre1996,S2L_Post1996,S5L_Pre1996,S5L_Post1996
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.00145,0.00054,0.00019,7e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06,0.0693,0.02593,0.00889,0.00318,0.00058,0.0,0.0,0.0,1e-05,0.0,0.00113,1e-05
0.11,0.12854,0.06484,0.0267,0.01273,0.04944,0.00156,0.00075,0.0,0.00487,0.00028,0.0576,0.00413
0.16,0.18126,0.11341,0.05397,0.03192,0.19038,0.02644,0.02321,0.00048,0.0454,0.00572,0.20889,0.04094
0.21,0.22912,0.16629,0.08845,0.06113,0.35186,0.0978,0.11048,0.00754,0.13335,0.02751,0.37487,0.12591
0.26,0.27253,0.22046,0.12839,0.10008,0.49356,0.1984,0.25343,0.0366,0.24482,0.07065,0.51341,0.23831
0.31,0.3119,0.27375,0.17197,0.14728,0.60588,0.30373,0.40934,0.09677,0.35652,0.13057,0.61983,0.35349
0.36,0.34768,0.32491,0.21763,0.20076,0.69161,0.40185,0.54828,0.18286,0.45716,0.1997,0.69982,0.45799
0.41,0.38029,0.37314,0.26397,0.2581,0.7564,0.48863,0.65957,0.28201,0.54324,0.27128,0.76002,0.54715
0.46,0.41007,0.41805,0.30988,0.31697,0.80548,0.56333,0.74399,0.38243,0.61511,0.34087,0.80575,0.62101
0.51,0.43737,0.45955,0.35457,0.37537,0.8429,0.6266,0.80631,0.47632,0.67443,0.40603,0.84085,0.68135
0.56,0.46244,0.49767,0.39739,0.43165,0.8718,0.67982,0.85213,0.5598,0.72337,0.46562,0.86822,0.73057
0.61,0.48554,0.53256,0.43801,0.48476,0.8943,0.72437,0.88578,0.63165,0.76373,0.51939,0.88977,0.7707
0.66,0.50687,0.56442,0.47619,0.53402,0.91201,0.76164,0.91066,0.69217,0.79712,0.5675,0.90693,0.80354
0.71,0.52663,0.5935,0.51183,0.57911,0.92612,0.79292,0.92932,0.74263,0.82492,0.61036,0.92079,0.83061
0.76,0.54496,0.62003,0.54495,0.62,0.93748,0.81926,0.94349,0.78438,0.84818,0.64848,0.93208,0.85306
0.81,0.56203,0.64424,0.57562,0.65684,0.94672,0.84155,0.9544,0.8189,0.86779,0.68237,0.94138,0.87182
0.86,0.57793,0.66634,0.60391,0.68979,0.95426,0.8604,0.96282,0.84723,0.88431,0.71242,0.94906,0.88751
0.91,0.59279,0.68655,0.63,0.71924,0.96049,0.87649,0.96945,0.87063,0.89837,0.73917,0.95549,0.90079
0.96,0.6067,0.70505,0.65402,0.74549,0.96568,0.89029,0.97473,0.89,0.91039,0.76299,0.96091,0.91208
1.01,0.61975,0.722,0.6761,0.76883,0.97001,0.90213,0.97894,0.90599,0.92067,0.78419,0.96548,0.9217
1.06,0.632,0.73755,0.6964,0.78961,0.97367,0.91236,0.98234,0.91928,0.92954,0.80312,0.96939,0.92996
1.11,0.64354,0.75188,0.71511,0.80817,0.97678,0.92128,0.98512,0.93043,0.93724,0.82008,0.97275,0.93713
1.16,0.65441,0.76506,0.73231,0.82469,0.97943,0.92903,0.98739,0.93974,0.94391,0.83527,0.97563,0.94333
1.21,0.66468,0.77723,0.74816,0.83944,0.98171,0.93583,0.98927,0.94758,0.94974,0.8489,0.97814,0.94874
1.26,0.67439,0.78847,0.76277,0.85264,0.98367,0.9418,0.99082,0.9542,0.95483,0.86116,0.98032,0.95348
1.31,0.68358,0.7989,0.77627,0.8645,0.98537,0.94709,0.99213,0.95984,0.95933,0.87224,0.98223,0.95767
1.36,0.69229,0.80853,0.7887,0.87508,0.98684,0.95173,0.99321,0.9646,0.96325,0.88218,0.98389,0.96133
