PGA,URML_Pre1945,URML_Post1945,Timber_Pre1945,Timber_Post1945,C1L_Pre1996,C1L_Post1996,C2L_Pre1996,C2L_Post1996,S2L_Pre1996,S2L_Post1996,S5L_Pre1996,S5L_Post1996,URML_Pre1945_Re,URML_Post1945_Re,Timber_Pre1945_Re,Timber_Post1945_Re
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.00145,0.00054,0.00018999999999999998,7e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002342,0.0006799999999999999,0.0006599999999999999,0.00019
0.06,0.0693,0.02593,0.00889,0.00318,0.00058,0.0,0.0,0.0,1e-05,0.0,0.0011300000000000001,1e-05,0.016675999999999996,0.005723999999999998,0.004735999999999999,0.0016079999999999996
0.11,0.12854000000000002,0.06484,0.0267,0.01273,0.04944,0.00156,0.00075,0.0,0.00487,0.00028,0.0576,0.00413,0.043168,0.019082,0.012482,0.005417999999999999
0.16,0.18126,0.11341,0.053970000000000004,0.03192,0.19038,0.026439999999999998,0.023209999999999998,0.00047999999999999996,0.0454,0.00572,0.20889000000000002,0.04094,0.07739000000000001,0.041036,0.022948000000000003,0.011842
0.21,0.22912,0.16629000000000002,0.08845,0.06113,0.35186,0.0978,0.11048,0.007540000000000001,0.13335,0.027510000000000003,0.37487,0.12591,0.11658799999999998,0.07099399999999999,0.03561999999999999,0.020941999999999995
0.26,0.27253,0.22046,0.12839,0.10008,0.49356000000000005,0.1984,0.25343000000000004,0.0366,0.24481999999999998,0.07065,0.51341,0.23831,0.158682,0.10779000000000001,0.050134000000000005,0.032716
0.31,0.3119,0.27375,0.17197,0.14728,0.60588,0.30373,0.40934,0.09677000000000001,0.35652,0.13057,0.61983,0.35349,0.20204000000000003,0.14988800000000002,0.066156,0.047032000000000004
0.36,0.34768000000000004,0.32491,0.21763000000000002,0.20076,0.6916100000000001,0.40185,0.54828,0.18286,0.45716,0.1997,0.69982,0.45798999999999995,0.245454,0.19566,0.08339400000000001,0.063738
0.41,0.38029,0.37314,0.26397,0.2581,0.7564,0.48863,0.65957,0.28201,0.54324,0.27128,0.76002,0.54715,0.3073839999999999,0.25331999999999993,0.10545799999999997,0.08493799999999997
0.46,0.41007,0.41805,0.30988000000000004,0.31697,0.80548,0.56333,0.7439899999999999,0.38243,0.61511,0.34087,0.80575,0.6210100000000001,0.44299000000000005,0.34895000000000004,0.142768,0.11635000000000001
0.51,0.43737,0.45955,0.35457,0.37537,0.8429,0.6266,0.8063100000000001,0.47631999999999997,0.67443,0.40603,0.84085,0.68135,0.566082,0.43551,0.176534,0.14473
0.56,0.46243999999999996,0.49767,0.39739,0.43165,0.8718,0.67982,0.8521299999999999,0.5598,0.72337,0.46562,0.8682200000000001,0.7305699999999999,0.678,0.514206,0.20712000000000003,0.17053600000000002
0.61,0.48553999999999997,0.53256,0.43801,0.48476,0.8943,0.72437,0.8857799999999999,0.63165,0.76373,0.51939,0.8897700000000001,0.7707,0.7736000000000001,0.585464,0.23455399999999998,0.19400799999999999
0.66,0.5068699999999999,0.56442,0.47618999999999995,0.5340199999999999,0.91201,0.76164,0.91066,0.69217,0.7971199999999999,0.5675,0.9069299999999999,0.8035399999999999,0.833248,0.649872,0.25995,0.21573
0.71,0.52663,0.5935,0.51183,0.57911,0.92612,0.79292,0.92932,0.74263,0.8249200000000001,0.61036,0.92079,0.8306100000000001,0.87222,0.708452,0.28375,0.23610399999999998
0.76,0.54496,0.62003,0.54495,0.62,0.93748,0.81926,0.9434899999999999,0.78438,0.8481799999999999,0.6484800000000001,0.9320799999999999,0.85306,0.9026919999999999,0.756722,0.31075800000000003,0.259412
0.81,0.56203,0.6442399999999999,0.57562,0.65684,0.9467200000000001,0.84155,0.9544,0.8189,0.86779,0.68237,0.9413799999999999,0.87182,0.91293,0.782324,0.35171,0.295244
0.86,0.57793,0.6663399999999999,0.6039100000000001,0.68979,0.95426,0.8604,0.9628200000000001,0.8472299999999999,0.88431,0.7124199999999999,0.94906,0.88751,0.92257,0.806422,0.39027199999999995,0.328984
0.91,0.5927899999999999,0.68655,0.63,0.71924,0.96049,0.87649,0.96945,0.8706299999999999,0.8983700000000001,0.73917,0.95549,0.90079,0.93166,0.829156,0.426642,0.360816
0.96,0.6067,0.70505,0.6540199999999999,0.74549,0.9656799999999999,0.8902899999999999,0.9747299999999999,0.89,0.9103899999999999,0.76299,0.96091,0.9120799999999999,0.940224,0.850566,0.46090000000000003,0.39078799999999997
1.01,0.61975,0.722,0.6761,0.76883,0.97001,0.9021299999999999,0.9789399999999999,0.90599,0.9206700000000001,0.7841899999999999,0.9654799999999999,0.9217,0.9483659999999999,0.870904,0.493444,0.41926199999999997
1.06,0.632,0.73755,0.6964,0.78961,0.97367,0.9123600000000001,0.98234,0.9192799999999999,0.9295399999999999,0.80312,0.96939,0.92996,0.95613,0.89031,0.5245,0.44644
1.11,0.64354,0.75188,0.71511,0.8081699999999999,0.97678,0.9212799999999999,0.9851200000000001,0.93043,0.93724,0.8200799999999999,0.97275,0.9371299999999999,0.9635640000000001,0.908898,0.5542400000000001,0.47246200000000005
1.16,0.65441,0.7650600000000001,0.73231,0.8246899999999999,0.9794299999999999,0.9290299999999999,0.98739,0.9397399999999999,0.94391,0.8352700000000001,0.9756299999999999,0.9433299999999999,0.970658,0.926642,0.582628,0.49729999999999996
1.21,0.66468,0.77723,0.74816,0.83944,0.9817100000000001,0.9358299999999999,0.9892700000000001,0.94758,0.9497399999999999,0.8489,0.97814,0.9487399999999999,0.977404,0.943498,0.609598,0.5209
1.26,0.6743899999999999,0.78847,0.76277,0.85264,0.98367,0.9418,0.99082,0.9542,0.95483,0.86116,0.9803200000000001,0.9534799999999999,0.983926,0.959816,0.6357,0.543736
1.31,0.68358,0.7989,0.77627,0.8645,0.9853700000000001,0.94709,0.99213,0.9598399999999999,0.9593299999999999,0.87224,0.9822299999999999,0.95767,0.990194,0.975488,0.66079,0.56569
1.36,0.69229,0.80853,0.7887,0.87508,0.9868399999999999,0.95173,0.99321,0.9646,0.96325,0.88218,0.9838899999999999,0.9613299999999999,0.996008,0.990016,0.6840240000000001,0.586024
