PGA,T1base,T1full,T2base,T2full,T3base,T3full,T4base,T4full,T5base,T5full,T6base,T6full,URML_Pre1945,URML_Post1945,Timber_Pre1945,Timber_Post1945,S5L_Post1996,S5L_Pre1996,S2L_Post1996,S2L_Pre1996,C1L_Post1996,C1L_Pre1996,C2L_Pre1996,C2L_Post1996
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.006264346951834278,0.0007736755586670379,0.0014259505868576073,0.00025523115643666784,0.0002702916106348187,4.019006475374595e-06,0.0057220000659556295,0.004036440036316145,0.00018189182130641792,8.267937024017521e-06,0.0020195188169655686,0.00036149223663918816,0.0023420000000000003,0.0006799999999999999,0.0006599999999999999,0.00019,0.001,0.0015,0.00015,0.00025,0.0001,0.00025,0.0001,0.00014
0.06,0.027849381493277158,0.01607454947913737,0.027697996986251337,0.01577760052341309,0.010734790867847456,0.0027360459577325364,0.042197589244071285,0.026009735361991904,0.009934493847230788,0.004231514247526915,0.04015720967130175,0.02313914320433295,0.016675999999999996,0.0057239999999999965,0.004735999999999999,0.0016079999999999994,0.005999999999999999,0.009000000000000001,0.0009,0.0014999999999999998,0.0006,0.0014999999999999998,0.0006,0.0008399999999999999
0.11,0.03670492295295105,0.02443077726617137,0.04936802633074755,0.029510796343168774,0.0259562306779576,0.008162413975410598,0.07713519198891614,0.046663983023752686,0.0312653578326852,0.015904969141879752,0.06882046309679228,0.04659332988833885,0.043168,0.019082,0.012482,0.005417999999999999,0.011000000000000001,0.0165,0.00165,0.00275,0.0011,0.00275,0.0011,0.0015400000000000001
0.16,0.053914549740968536,0.03271563120974358,0.08664112079647222,0.04498632947000095,0.05338637115033944,0.017615782155458334,0.1303674571505341,0.07289381367185421,0.0661076939997439,0.033508637410459466,0.10411346941083276,0.06825490932653681,0.07739000000000001,0.041036,0.022948000000000003,0.011842,0.016,0.024,0.0024,0.004,0.0016,0.004,0.0016,0.00224
0.21,0.09017287260921407,0.04525742110472926,0.13705898846855225,0.06849359519094338,0.09787659357039827,0.0325743661118248,0.2028553123113687,0.10749493976811901,0.12456691344782694,0.057887120802660924,0.1567490411865998,0.093384616999468,0.11658799999999996,0.07099399999999999,0.03561999999999998,0.020941999999999995,0.021,0.032999999999999995,0.003799999999999999,0.006999999999999997,0.0027999999999999987,0.006699999999999997,0.0032999999999999982,0.0035199999999999993
0.26,0.1519810721212536,0.06771494644426455,0.2079472929900538,0.10246124826018684,0.16185667265223394,0.0580410735219136,0.289657232772565,0.15479921707639874,0.20152915348612954,0.09588419224909378,0.219300364349104,0.12500142287911342,0.158682,0.10779000000000001,0.050134000000000005,0.032716,0.026000000000000002,0.048,0.0078,0.017,0.0068000000000000005,0.015200000000000003,0.0098,0.0071200000000000005
0.31,0.2306444382302089,0.10233551674669594,0.28799687703865073,0.14338571608412096,0.24546919178846374,0.09500978390576548,0.3843865978257308,0.21147358432028035,0.2897726693006327,0.1406598653806626,0.3040955591799848,0.16885236251626148,0.20204000000000005,0.14988800000000002,0.06615599999999999,0.047032,0.031,0.067,0.0129,0.028500000000000008,0.011500000000000002,0.0258,0.0173,0.011200000000000002
0.36,0.3186158500434331,0.14679130706803029,0.3712603740320978,0.19277106972232733,0.33750009861833546,0.14165597836675364,0.4670821884037041,0.2794462241249305,0.37879828412369104,0.19096730380057733,0.38059277498769,0.21496136728812149,0.245454,0.19566,0.08339400000000001,0.063738,0.036000000000000004,0.10199999999999998,0.0224,0.045999999999999985,0.019,0.044799999999999986,0.028799999999999992,0.017199999999999997
0.41,0.4104814442684378,0.1977861340786906,0.4488958065227382,0.24590171981678866,0.430588895986414,0.1970254630927296,0.5461643084287042,0.3439532915029185,0.4610548164224148,0.256277998698324,0.4593216968373424,0.2669256328168617,0.3073839999999999,0.25331999999999993,0.10545799999999997,0.08493799999999997,0.04479999999999998,0.13899999999999996,0.03249999999999999,0.06499999999999997,0.026999999999999996,0.06519999999999998,0.04219999999999998,0.024199999999999992
0.46,0.4951365808254294,0.26260223330371096,0.5341042916566505,0.30749711020438625,0.5101366345129625,0.2574569235278989,0.6181237756261071,0.4082159892612821,0.5476253401795202,0.3219475347720772,0.536883723385394,0.3254688046523749,0.4429900000000001,0.34895000000000004,0.142768,0.11635,0.0688,0.184,0.045,0.09,0.037000000000000005,0.0912,0.0632,0.0352
0.51,0.5752687600077384,0.3227192399335122,0.5993684339218214,0.3674777425461944,0.5862486549357365,0.3285535854243965,0.6925926367627004,0.4675192554923162,0.6190868976941105,0.38320774330006097,0.6179904562741314,0.382746896876097,0.566082,0.4355100000000001,0.176534,0.14473,0.0967,0.23399999999999999,0.0595,0.1158,0.0485,0.1188,0.08650000000000001,0.048
0.56,0.6515282925973458,0.3983453026071371,0.6621206878802973,0.4322425180060913,0.658807343434061,0.3956174627425697,0.7382387009782011,0.5303551330862548,0.6801322351083859,0.4496497148119877,0.6834809309170661,0.4421365891272768,0.6779999999999999,0.514206,0.20712000000000005,0.17053600000000002,0.14020000000000005,0.3040000000000001,0.08200000000000003,0.14480000000000004,0.06600000000000003,0.15280000000000005,0.11900000000000005,0.06800000000000002
0.61,0.7173593022787856,0.4542848541459244,0.7238087668234402,0.4847815889439625,0.7245290103186017,0.4632967333966139,0.7828829157360565,0.5880032221483035,0.7386451877674982,0.5066315016081676,0.7272526065595686,0.4988027611808032,0.7736000000000001,0.585464,0.23455399999999998,0.19400799999999999,0.1846,0.37200000000000005,0.104,0.17420000000000002,0.085,0.19,0.1513,0.08810000000000001
0.66,0.7593063914309719,0.5187811460676592,0.7703578175202754,0.5416555375466799,0.7621166405583623,0.5209967986230004,0.8296137964965304,0.6378034699541159,0.7876583281311239,0.5659068512846895,0.7759903133604624,0.5577669740252827,0.833248,0.649872,0.25995,0.21573,0.2326000000000001,0.4320000000000001,0.12400000000000005,0.20520000000000005,0.11000000000000004,0.2400000000000001,0.1828,0.10860000000000004
0.71,0.8137620797262429,0.5718742462195832,0.8185965962494861,0.5956124700736424,0.8165164295230666,0.5767113097724892,0.8585511850865696,0.6804560817746438,0.8294782934532917,0.6212667186904849,0.8156397731952446,0.6068460714891855,0.8722200000000001,0.7084520000000001,0.28375,0.236104,0.28390000000000004,0.4919999999999999,0.14600000000000002,0.239,0.1378,0.29300000000000004,0.2152,0.133
0.76,0.8412281989869422,0.6270285333331395,0.8512518801250767,0.6453645466775451,0.8485654373836472,0.6336578995192316,0.8856648737652454,0.7154179162508932,0.8556893704638313,0.657032559750592,0.8518867522264827,0.6613670012757967,0.902692,0.756722,0.31075800000000003,0.259412,0.34840000000000004,0.5519999999999999,0.17600000000000002,0.28400000000000003,0.17679999999999998,0.358,0.25120000000000003,0.17300000000000001
0.81,0.8730119306272188,0.6781128791970299,0.8769035785403838,0.6837349490659955,0.8745224509657262,0.6833334282840927,0.9079766524145138,0.755995734536982,0.8812380587668083,0.7012610409082453,0.8792463270381374,0.7000760133144682,0.91293,0.782324,0.35171,0.295244,0.4135,0.611,0.207,0.32899999999999996,0.2212,0.42200000000000004,0.28900000000000003,0.2125
0.86,0.9009008661305582,0.7276517771114691,0.9001276663716701,0.729016346296046,0.8960534529685971,0.7224165827110413,0.9239943357332584,0.7895589001785389,0.902237525261422,0.7397574723577146,0.9045446918070816,0.7339320546463783,0.92257,0.806422,0.39027199999999995,0.328984,0.48100000000000004,0.6659999999999999,0.242,0.374,0.2872,0.48200000000000004,0.334,0.25
0.91,0.9168501496134668,0.7545435128668473,0.9177355324220168,0.7588576909920606,0.9160093821279879,0.7578753477483124,0.9400114162957118,0.820656490162942,0.92588860979969,0.774029669743557,0.923555978958568,0.7689842461910431,0.93166,0.829156,0.426642,0.360816,0.5485,0.7190000000000001,0.27899999999999997,0.419,0.35600000000000004,0.541,0.38,0.28900000000000003
0.96,0.9319103400146052,0.7856605540828777,0.932792008064074,0.7929678788672623,0.9335879796671236,0.7924957055600697,0.9505221511589896,0.8496344643876498,0.9425887306763774,0.8044093475873201,0.9365332466027458,0.8001510078643309,0.940224,0.8505659999999999,0.4609,0.390788,0.616,0.764,0.32399999999999995,0.464,0.436,0.596,0.43,0.334
1.01,0.9475361783007838,0.8143564077933134,0.9471834152218644,0.8212704346275764,0.9461809952065215,0.8238837251933141,0.9593069475133692,0.8655339346539872,0.950218390643504,0.8338067875993999,0.94750364288537,0.8290895372262111,0.9483659999999999,0.8709040000000001,0.493444,0.41926199999999997,0.682,0.805,0.36700000000000005,0.509,0.515,0.6509999999999999,0.48,0.377
1.06,0.9588450836445178,0.8413225962909175,0.9558392571105749,0.8471758014237409,0.9587516560343728,0.8433349027795966,0.9687779784648554,0.8831037530262137,0.9598037542302288,0.8575061411081859,0.9586754580099892,0.8455087766752175,0.95613,0.89031,0.5245,0.44644,0.742,0.8300000000000001,0.402,0.5539999999999999,0.59,0.706,0.5299999999999999,0.41200000000000003
1.11,0.9664370055872432,0.8675370935199699,0.9627199143014414,0.8657768851779093,0.9627131278983124,0.8692170782449149,0.9738716197764056,0.898182994479375,0.9660252335485164,0.8736694872624168,0.9672389191447353,0.8708745662126346,0.963564,0.908898,0.5542400000000001,0.4724620000000001,0.7979999999999999,0.8550000000000001,0.43700000000000006,0.599,0.66,0.757,0.579,0.447
1.16,0.9738953254990266,0.8847768590835245,0.9709470015837876,0.8839426169194134,0.9709288666040228,0.882666387147409,0.9796343307259572,0.9099027440353536,0.9730334719472208,0.8886885274694556,0.9725472902923208,0.8918494081598017,0.970658,0.926642,0.5826279999999999,0.4973,0.838,0.88,0.4719999999999999,0.6439999999999999,0.71,0.7919999999999999,0.6239999999999999,0.4819999999999999
1.21,0.9788859033546672,0.9030244736333579,0.9771288288319804,0.9015820117735212,0.9777946895768206,0.9041856480774212,0.98231208971901,0.9285990650414404,0.9784254831229032,0.904314098299288,0.9772868434650815,0.9027618206554572,0.977404,0.943498,0.609598,0.5209,0.8738,0.902,0.508,0.6885,0.7565000000000001,0.8255,0.6685,0.5185000000000001
1.26,0.9793605714903424,0.9141089904360644,0.9815524938003451,0.9144782191113802,0.9810331542559624,0.9151993766136898,0.9844302011454664,0.9351424002300668,0.9830686878423333,0.9199444511949584,0.9827508954307472,0.9168065316388084,0.983926,0.959816,0.6357,0.543736,0.8928,0.912,0.5479999999999999,0.7310000000000001,0.789,0.853,0.7110000000000001,0.561
1.31,0.9839957578512996,0.9256217694286374,0.984866046869074,0.924714826818565,0.9846323238025712,0.9280767744847838,0.9872911558505778,0.9459230937901354,0.9846565837640899,0.9321495116053716,0.9842520250138744,0.9286679645299368,0.990194,0.975488,0.66079,0.5656899999999999,0.9092,0.922,0.5880000000000001,0.7735000000000001,0.8215000000000001,0.8805000000000001,0.7535000000000001,0.6035000000000001
1.36,0.9871886569950944,0.9369807726336128,0.9878474724376566,0.9379028998922166,0.9882790823228704,0.9422865900961754,0.9902110326072402,0.9512421045052748,0.9884548464498584,0.94031228598706,0.9868207360053064,0.9382860124261948,0.996008,0.990016,0.6840240000000001,0.586024,0.9152,0.932,0.6280000000000001,0.8160000000000002,0.8540000000000001,0.908,0.7960000000000002,0.6460000000000001
